District,State,Area_km2,Population
Sonbhadra,Uttar Pradesh,"6,905","18,62,559"
Sonipat,Haryana,"2,122","14,50,001"
Sonitpur,Assam,"5,204","19,24,110"
South,#N/A,247,"27,31,929"
South Andaman,Andaman And Nicobar Islands,"2,672","2,38,142"
South District,#N/A,750,"1,46,850"
South Garo Hills,Meghalaya,"1,887","1,42,334"
South Goa,Goa,"1,966","6,40,537"
South Tripura,Tripura,"3,057","8,76,001"
South Twenty Four Parganas,West Bengal,"9,960","81,61,961"
South West,#N/A,421,"22,92,958"
Sri Potti Sriramulu Nellore,Andhra Pradesh,"13,076","29,63,557"
Srikakulam,Andhra Pradesh,"5,837","27,03,114"
Srinagar,Jammu and Kashmir,"1,979","12,36,829"
Subarnapur,Orissa,"2,337","6,10,183"
Sultanpur,Uttar Pradesh,"4,436","37,97,117"
Sundargarh,Orissa,"9,712","20,93,437"
Supaul,Bihar,"2,425","22,29,076"
Surat,Gujarat,"4,549","60,81,322"
Surendranagar,Gujarat,"10,423","17,56,268"
Surguja,Chhattisgarh,"15,732","23,59,886"
Tamenglong,Manipur,"4,391","1,40,651"
Tapi,Gujarat,"3,139","8,07,022"
Tarn Taran,Punjab,"2,414","11,19,627"
Tawang,Arunachal Pradesh,"2,172","49,977"
Tehri Garhwal,Uttarakhand,"3,642","6,18,931"
Thane,Maharashtra,"9,558","1,10,60,148"
Thanjavur,Tamil Nadu,"3,411","24,05,890"
The Dangs,Gujarat,"1,766","2,28,291"
The Nilgiris,Tamil Nadu,"2,565","7,35,394"
Theni,Tamil Nadu,"2,868","12,45,899"
Thiruvallur,Tamil Nadu,"3,394","37,28,104"
Thiruvananthapuram,Kerala,"2,189","33,01,427"
Thiruvarur,Tamil Nadu,"2,274","12,64,277"
Thoothukkudi,Tamil Nadu,"4,745","17,50,176"
Thoubal,Manipur,514,"4,22,168"
Thrissur,Kerala,"3,027","31,21,200"
Tikamgarh,Madhya Pradesh,"5,048","14,45,166"
Tinsukia,Assam,"3,790","13,27,929"
Tirap,Arunachal Pradesh,"2,362","1,11,975"
Tiruchirappalli,Tamil Nadu,"4,509","27,22,290"
Tirunelveli,Tamil Nadu,"6,693","30,77,233"
Tiruppur,Tamil Nadu,"5,187","24,79,052"
Tiruvannamalai,Tamil Nadu,"6,188","24,64,875"
Tonk,Rajasthan,"7,194","14,21,326"
Tuensang,Nagaland,"2,536","1,96,596"
Tumkur,Karnataka,"10,597","26,78,980"
Udaipur,Rajasthan,"11,724","30,68,420"
Udalguri,Assam,"2,012","8,31,668"
Udham Singh Nagar,Uttarakhand,"2,542","16,48,902"
Udhampur,Jammu and Kashmir,"2,637","5,54,985"
Udupi,Karnataka,"3,582","11,77,361"
Ujjain,Madhya Pradesh,"6,091","19,86,864"
Ukhrul,Manipur,"4,544","1,83,998"
Umaria,Madhya Pradesh,"4,076","6,44,758"
Una,Himachal Pradesh,"1,540","5,21,173"
Unnao,Uttar Pradesh,"4,558","31,08,367"
Upper Siang,Arunachal Pradesh,"6,590","35,320"
Upper Subansiri,Arunachal Pradesh,"7,032","83,448"
Uttar Dinajpur,West Bengal,"3,140","30,07,134"
Uttara Kannada,Karnataka,"10,277","14,37,169"
Uttarkashi,Uttarakhand,"8,016","3,30,086"
Vadodara,Gujarat,"7,546","41,65,626"
Vaishali,Bihar,"2,036","34,95,021"
Valsad,Gujarat,"3,008","17,05,678"
Varanasi,Uttar Pradesh,"1,535","36,76,841"
Vellore,Tamil Nadu,"6,075","39,36,331"
Vidisha,Madhya Pradesh,"7,371","14,58,875"
Viluppuram,Tamil Nadu,"7,194","34,58,873"
Virudhunagar,Tamil Nadu,"4,241","19,42,288"
Visakhapatnam,Andhra Pradesh,"11,161","42,90,589"
Vizianagaram,Andhra Pradesh,"6,539","23,44,474"
Warangal,Andhra Pradesh,"12,846","35,12,576"
Wardha,Maharashtra,"6,309","13,00,774"
Washim,Maharashtra,"4,898","11,97,160"
Wayanad,Kerala,"2,130","8,17,420"
West,#N/A,130,"25,43,243"
West District,#N/A,"1,166","1,36,435"
West Garo Hills,Meghalaya,"3,677","6,43,291"
West Godavari,Andhra Pradesh,"7,742","39,36,966"
West Kameng,Arunachal Pradesh,"7,422","83,947"
West Khasi Hills,Meghalaya,"5,247","3,83,461"
West Siang,Arunachal Pradesh,"8,325","1,12,274"
West Tripura,Tripura,"2,993","17,25,739"
Wokha,Nagaland,"1,628","1,66,343"
Yadgir,Karnataka,"5,270","11,74,271"
Yamunanagar,Haryana,"1,768","12,14,205"
Yanam,Puducherry,30,"55,626"
Yavatmal,Maharashtra,"13,582","27,72,348"
YSR,Andhra Pradesh,"15,359","28,82,469"
Zunheboto,Nagaland,"1,255","1,40,757"
